"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Norway (NO)","11.09.2024 05:00 - 11.09.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","120","n/e","n/e","n/e","n/e","n/e","26","","3973","7226","n/e","n/e","0","41","0","29","n/e","2182"
"Norway (NO)","11.09.2024 06:00 - 11.09.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","114","n/e","n/e","n/e","n/e","n/e","26","","3966","7772","n/e","n/e","0","38","0","30","n/e","3312"
"Norway (NO)","11.09.2024 07:00 - 11.09.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","120","n/e","n/e","n/e","n/e","n/e","27","","4023","10127","n/e","n/e","0","40","0","29","n/e","3205"
"Norway (NO)","11.09.2024 08:00 - 11.09.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","132","n/e","n/e","n/e","n/e","n/e","26","","4041","11337","n/e","n/e","0","46","0","30","n/e","3376"
"Norway (NO)","11.09.2024 09:00 - 11.09.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","132","n/e","n/e","n/e","n/e","n/e","35","","4007","11293","n/e","n/e","0","48","1","28","n/e","3481"
"Norway (NO)","11.09.2024 10:00 - 11.09.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","136","n/e","n/e","n/e","n/e","n/e","34","","4036","10571","n/e","n/e","0","45","3","28","n/e","3457"
"Norway (NO)","11.09.2024 11:00 - 11.09.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","131","n/e","n/e","n/e","n/e","n/e","35","","4040","10315","n/e","n/e","0","40","4","26","n/e","3443"
"Norway (NO)","11.09.2024 12:00 - 11.09.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","137","n/e","n/e","n/e","n/e","n/e","77","","4020","10153","n/e","n/e","0","50","3","28","n/e","3309"
"Norway (NO)","11.09.2024 13:00 - 11.09.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","142","n/e","n/e","n/e","n/e","n/e","88","","4039","9970","n/e","n/e","0","59","4","29","n/e","3457"
"Norway (NO)","11.09.2024 14:00 - 11.09.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","141","n/e","n/e","n/e","n/e","n/e","88","","4075","9876","n/e","n/e","0","47","4","27","n/e","3476"
"Norway (NO)","11.09.2024 15:00 - 11.09.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","144","n/e","n/e","n/e","n/e","n/e","65","","4112","11099","n/e","n/e","0","42","3","26","n/e","3129"
"Norway (NO)","11.09.2024 16:00 - 11.09.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","146","n/e","n/e","n/e","n/e","n/e","62","","4148","11195","n/e","n/e","0","36","1","25","n/e","3015"
"Norway (NO)","11.09.2024 17:00 - 11.09.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","143","n/e","n/e","n/e","n/e","n/e","85","","4146","11583","n/e","n/e","0","47","0","28","n/e","3071"
"Norway (NO)","11.09.2024 18:00 - 11.09.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","145","n/e","n/e","n/e","n/e","n/e","128","","4180","11728","n/e","n/e","0","48","0","29","n/e","2916"
